method,accuracy,tool
cosine,0.331849213416444,numbat_cat
cosine,0.32998225901833234,numbat_cat
cosine,0.3232745742455931,numbat_cat
cosine,0.33323389021479716,numbat_cat
cosine,0.32367720957729823,numbat_cat
cosine,0.3270609318996416,numbat_cat
cosine,0.32575530960215376,numbat_cat
cosine,0.3321513002364066,numbat_cat
cosine,0.3322348711803475,numbat_cat
cosine,0.3211959739490823,numbat_cat
cosine,0.33026706231454006,numbat_cat
cosine,0.333037037037037,numbat_cat
cosine,0.32320524277628837,numbat_cat
cosine,0.3255744553864518,numbat_cat
cosine,0.32525433871932974,numbat_cat
cosine,0.32975551580202744,numbat_cat
cosine,0.32679738562091504,numbat_cat
cosine,0.32977461447212336,numbat_cat
cosine,0.33145233145233144,numbat_cat
cosine,0.3296833382657591,numbat_cat
cosine,0.32934847579199045,numbat_cat
cosine,0.3263785394932936,numbat_cat
cosine,0.3277761238463828,numbat_cat
cosine,0.32846062052505964,numbat_cat
cosine,0.3274731823599523,numbat_cat
cosine,0.3300359712230216,numbat_cat
cosine,0.3283671036948749,numbat_cat
cosine,0.3288690476190476,numbat_cat
cosine,0.3312444046553268,numbat_cat
cosine,0.3249033025885153,numbat_cat
cosine,0.33117074609259806,numbat_cat
cosine,0.3321375186846039,numbat_cat
cosine,0.3236700537955768,numbat_cat
cosine,0.3332348596750369,numbat_cat
cosine,0.32462132462132465,numbat_cat
cosine,0.32717520858164484,numbat_cat
cosine,0.32867340868530637,numbat_cat
cosine,0.3241153731787095,numbat_cat
cosine,0.3356205250596659,numbat_cat
cosine,0.3302505966587112,numbat_cat
cosine,0.3300477897252091,numbat_cat
cosine,0.3326397146254459,numbat_cat
cosine,0.33213536987121894,numbat_cat
cosine,0.3257261410788382,numbat_cat
cosine,0.32403560830860534,numbat_cat
cosine,0.32512607534856125,numbat_cat
cosine,0.3326347305389222,numbat_cat
cosine,0.3300682695161769,numbat_cat
cosine,0.3263499557391561,numbat_cat
cosine,0.32686567164179103,numbat_cat
cosine,0.32583604616750517,numbat_cat
cosine,0.32895129967134745,numbat_cat
cosine,0.33629893238434166,numbat_cat
cosine,0.3303384246780473,numbat_cat
cosine,0.33193403298350826,numbat_cat
cosine,0.32904576727490276,numbat_cat
cosine,0.3285841495992876,numbat_cat
cosine,0.32976827094474154,numbat_cat
cosine,0.33183856502242154,numbat_cat
cosine,0.32684824902723736,numbat_cat
cosine,0.3351206434316354,numbat_cat
cosine,0.3298785904649097,numbat_cat
cosine,0.32588620792374146,numbat_cat
cosine,0.3230586840545347,numbat_cat
cosine,0.32438878950506855,numbat_cat
cosine,0.32461355529131986,numbat_cat
cosine,0.3306595365418895,numbat_cat
cosine,0.3325422723227529,numbat_cat
cosine,0.33343256921702885,numbat_cat
cosine,0.3260739856801909,numbat_cat
cosine,0.3343230403800475,numbat_cat
cosine,0.3246792002387347,numbat_cat
cosine,0.33223880597014926,numbat_cat
cosine,0.3282738095238095,numbat_cat
cosine,0.3310509080083358,numbat_cat
cosine,0.33136094674556216,numbat_cat
cosine,0.3276735180220435,numbat_cat
cosine,0.3289669544507294,numbat_cat
cosine,0.33580760095011875,numbat_cat
cosine,0.3297587131367292,numbat_cat
cosine,0.33006244424620873,numbat_cat
cosine,0.32865671641791044,numbat_cat
cosine,0.3269689737470167,numbat_cat
cosine,0.32597014925373136,numbat_cat
cosine,0.32935560859188545,numbat_cat
cosine,0.3273756330056598,numbat_cat
cosine,0.3329355608591885,numbat_cat
cosine,0.33323326328429903,numbat_cat
cosine,0.3259833134684148,numbat_cat
cosine,0.33492394870265435,numbat_cat
cosine,0.32976827094474154,numbat_cat
cosine,0.3291554759773202,numbat_cat
cosine,0.3299733175214942,numbat_cat
cosine,0.33303544831694964,numbat_cat
cosine,0.32146037399821903,numbat_cat
cosine,0.32619684805233423,numbat_cat
cosine,0.3273050696709161,numbat_cat
cosine,0.33263847528290647,numbat_cat
cosine,0.32965393794749404,numbat_cat
cosine,0.32722435707951525,numbat_cat
cosine,0.32823741007194246,numbat_cat
cosine,0.3244047619047619,numbat_cat
cosine,0.32809721398933017,numbat_cat
cosine,0.32760663507109006,numbat_cat
cosine,0.33442233442233443,numbat_cat
cosine,0.3276735180220435,numbat_cat
cosine,0.3282828282828283,numbat_cat
cosine,0.3281899109792285,numbat_cat
cosine,0.33134328358208953,numbat_cat
cosine,0.3265063817156426,numbat_cat
cosine,0.32947805456702256,numbat_cat
cosine,0.32680901542111507,numbat_cat
cosine,0.33095450490633366,numbat_cat
cosine,0.3282828282828283,numbat_cat
cosine,0.33086273347168693,numbat_cat
cosine,0.33075089392133494,numbat_cat
cosine,0.3247990473355165,numbat_cat
cosine,0.33432480666270076,numbat_cat
cosine,0.32645739910313903,numbat_cat
cosine,0.32927553444180524,numbat_cat
cosine,0.3301775147928994,numbat_cat
cosine,0.3293520453866826,numbat_cat
cosine,0.3301775147928994,numbat_cat
cosine,0.3274574245593068,numbat_cat
cosine,0.32679155515908415,numbat_cat
cosine,0.32722435707951525,numbat_cat
cosine,0.3261904761904762,numbat_cat
cosine,0.33077830188679247,numbat_cat
cosine,0.33966745843230406,numbat_cat
cosine,0.3278737343656939,numbat_cat
cosine,0.32838038632986627,numbat_cat
cosine,0.3310691080921441,numbat_cat
cosine,0.3285925925925926,numbat_cat
cosine,0.32522976578713314,numbat_cat
cosine,0.33164179104477615,numbat_cat
cosine,0.3313379227776115,numbat_cat
cosine,0.33363068688670827,numbat_cat
cosine,0.33313432835820894,numbat_cat
cosine,0.3246946678582067,numbat_cat
cosine,0.32233125185845973,numbat_cat
cosine,0.3354129530600119,numbat_cat
cosine,0.3248294274695936,numbat_cat
cosine,0.3284736685510265,numbat_cat
cosine,0.33115338882282996,numbat_cat
cosine,0.3267563527653214,numbat_cat
cosine,0.3281437125748503,numbat_cat
cosine,0.32839359810314167,numbat_cat
cosine,0.32382650029708854,numbat_cat
cosine,0.33046062407132243,numbat_cat
cosine,0.3257688862346969,numbat_cat
cosine,0.33057362507392074,numbat_cat
cosine,0.3279952550415184,numbat_cat
cosine,0.33155397390272834,numbat_cat
cosine,0.3328384798099763,numbat_cat
cosine,0.3296605122096486,numbat_cat
cosine,0.3283671036948749,numbat_cat
cosine,0.326397146254459,numbat_cat
cosine,0.3245013396844299,numbat_cat
cosine,0.3289630512514899,numbat_cat
cosine,0.32536599940245,numbat_cat
cosine,0.3284431137724551,numbat_cat
cosine,0.32760663507109006,numbat_cat
cosine,0.3276481149012567,numbat_cat
cosine,0.32698601606664685,numbat_cat
cosine,0.32536599940245,numbat_cat
cosine,0.3256296296296296,numbat_cat
cosine,0.3293591654247392,numbat_cat
cosine,0.329585798816568,numbat_cat
cosine,0.32893948472139006,numbat_cat
cosine,0.33522218908440204,numbat_cat
cosine,0.33372886383862355,numbat_cat
cosine,0.32620320855614976,numbat_cat
cosine,0.3279181708784597,numbat_cat
cosine,0.3300507311250373,numbat_cat
cosine,0.3322475570032573,numbat_cat
cosine,0.3285841495992876,numbat_cat
cosine,0.32428400954653935,numbat_cat
cosine,0.3372162485065711,numbat_cat
cosine,0.3257531010041347,numbat_cat
cosine,0.32956236975290265,numbat_cat
cosine,0.3305613305613306,numbat_cat
cosine,0.3243801652892562,numbat_cat
cosine,0.3287466347591983,numbat_cat
cosine,0.3345185185185185,numbat_cat
cosine,0.3287105340808498,numbat_cat
cosine,0.32829181494661924,numbat_cat
cosine,0.3274679391589621,numbat_cat
cosine,0.33234156501041356,numbat_cat
cosine,0.3211831490887362,numbat_cat
cosine,0.3258093258093258,numbat_cat
cosine,0.324517087667162,numbat_cat
cosine,0.33044776119402985,numbat_cat
cosine,0.3208667260314633,numbat_cat
cosine,0.3282647584973166,numbat_cat
cosine,0.3264033264033264,numbat_cat
cosine,0.32996432818073723,numbat_cat
cosine,0.32677986297289247,numbat_cat
cosine,0.33115533115533113,numbat_cat
cosine,0.3280329799764429,numbat_cat
cosine,0.3309502532022639,numbat_cat
cosine,0.3284823284823285,numbat_cat
cosine,0.33183990442054956,numbat_cat
cosine,0.33014639976098,numbat_cat
cosine,0.33402428190701805,numbat_cat
cosine,0.32759643916913944,numbat_cat
cosine,0.32727272727272727,numbat_cat
cosine,0.3333333333333333,numbat_cat
cosine,0.3249925528745904,numbat_cat
cosine,0.3258160237388724,numbat_cat
cosine,0.32928994082840235,numbat_cat
cosine,0.330755502676978,numbat_cat
cosine,0.32595693779904306,numbat_cat
cosine,0.3245013396844299,numbat_cat
cosine,0.3271696987772144,numbat_cat
cosine,0.3239059243822566,numbat_cat
cosine,0.3256578947368421,numbat_cat
cosine,0.3377010125074449,numbat_cat
cosine,0.3289630512514899,numbat_cat
cosine,0.32925373134328356,numbat_cat
cosine,0.3273915626856803,numbat_cat
cosine,0.3249033025885153,numbat_cat
cosine,0.32677986297289247,numbat_cat
cosine,0.33183990442054956,numbat_cat
cosine,0.32704967085577497,numbat_cat
cosine,0.32707774798927614,numbat_cat
cosine,0.3280738314974695,numbat_cat
cosine,0.33501933948229695,numbat_cat
cosine,0.33086930810171494,numbat_cat
cosine,0.3294677371394588,numbat_cat
cosine,0.32976827094474154,numbat_cat
cosine,0.32737030411449014,numbat_cat
cosine,0.3264156537207234,numbat_cat
cosine,0.3298662704309064,numbat_cat
cosine,0.33253873659118,numbat_cat
cosine,0.3230495401957876,numbat_cat
cosine,0.3255192878338279,numbat_cat
cosine,0.33234333234333235,numbat_cat
cosine,0.3360023724792408,numbat_cat
cosine,0.327683615819209,numbat_cat
cosine,0.3232413178984862,numbat_cat
cosine,0.3249556475458309,numbat_cat
cosine,0.32959243945658595,numbat_cat
cosine,0.3180873180873181,numbat_cat
cosine,0.33026159334126043,numbat_cat
cosine,0.3310468237399344,numbat_cat
cosine,0.32870233520543896,numbat_cat
cosine,0.3319452706722189,numbat_cat
cosine,0.3329376854599407,numbat_cat
cosine,0.33264218009478674,numbat_cat
cosine,0.3260998810939358,numbat_cat
cosine,0.3340279845192021,numbat_cat
cosine,0.32353823088455774,numbat_cat
cosine,0.33283892020172057,numbat_cat
cosine,0.32540861812778604,numbat_cat
cosine,0.33363417569193743,numbat_cat
cosine,0.32907253269916764,numbat_cat
cosine,0.3333333333333333,numbat_cat
cosine,0.3250967549866032,numbat_cat
cosine,0.3259325044404973,numbat_cat
cosine,0.3274679391589621,numbat_cat
cosine,0.3299763033175355,numbat_cat
cosine,0.3312555654496883,numbat_cat
cosine,0.32737030411449014,numbat_cat
