method,accuracy,tool
cosine,0.8566340160284951,numbat_cat
cosine,0.5004484304932736,numbat_cat
cosine,0.8556053811659193,numbat_cat
cosine,0.8557522123893805,numbat_cat
cosine,0.8506111362607515,numbat_cat
cosine,0.8541480820695807,numbat_cat
cosine,0.8528099910793934,numbat_cat
cosine,0.8574620196604111,numbat_cat
cosine,0.854874283193648,numbat_cat
cosine,0.8574670903313664,numbat_cat
cosine,0.8628239499553172,numbat_cat
cosine,0.8591800356506238,numbat_cat
cosine,0.4882988298829883,numbat_cat
cosine,0.8525985663082437,numbat_cat
cosine,0.4854845913354176,numbat_cat
cosine,0.8538324420677362,numbat_cat
cosine,0.8584229390681004,numbat_cat
cosine,0.8565683646112601,numbat_cat
cosine,0.8609005795809184,numbat_cat
cosine,0.8579112505602868,numbat_cat
cosine,0.8534635879218473,numbat_cat
cosine,0.490371697268249,numbat_cat
cosine,0.8569512740277156,numbat_cat
cosine,0.4904231625835189,numbat_cat
cosine,0.8527443105756358,numbat_cat
cosine,0.8518354710305175,numbat_cat
cosine,0.8516532618409294,numbat_cat
cosine,0.8546589389210878,numbat_cat
cosine,0.8518847006651885,numbat_cat
cosine,0.8558599012123933,numbat_cat
cosine,0.5038133692238672,numbat_cat
cosine,0.8557522123893805,numbat_cat
cosine,0.8538771851187809,numbat_cat
cosine,0.8600178890876565,numbat_cat
cosine,0.854251012145749,numbat_cat
cosine,0.4908359409924005,numbat_cat
cosine,0.8579723090665475,numbat_cat
cosine,0.8569500674763832,numbat_cat
cosine,0.8653421633554084,numbat_cat
cosine,0.4928762243989314,numbat_cat
cosine,0.8513753327417923,numbat_cat
cosine,0.8570794496227253,numbat_cat
cosine,0.8531098367887076,numbat_cat
cosine,0.8581081081081081,numbat_cat
cosine,0.8561767357980162,numbat_cat
cosine,0.8512843623253717,numbat_cat
cosine,0.8534216335540838,numbat_cat
cosine,0.8579088471849866,numbat_cat
cosine,0.8598553345388789,numbat_cat
cosine,0.4888392857142857,numbat_cat
cosine,0.8553402433528616,numbat_cat
cosine,0.8589230084557188,numbat_cat
cosine,0.8601150951748562,numbat_cat
cosine,0.48826914563966356,numbat_cat
cosine,0.8584031760035289,numbat_cat
cosine,0.48845470692717585,numbat_cat
cosine,0.8555456171735242,numbat_cat
cosine,0.8554809843400447,numbat_cat
cosine,0.852589641434263,numbat_cat
cosine,0.8589230084557188,numbat_cat
cosine,0.8524734982332155,numbat_cat
cosine,0.49910394265232977,numbat_cat
cosine,0.8569506726457399,numbat_cat
cosine,0.8580470162748643,numbat_cat
cosine,0.8550919694930462,numbat_cat
cosine,0.8560503823661718,numbat_cat
cosine,0.8528756130182791,numbat_cat
cosine,0.8556149732620321,numbat_cat
cosine,0.4968944099378882,numbat_cat
cosine,0.8547161376843988,numbat_cat
cosine,0.8615794143744454,numbat_cat
cosine,0.4868008948545861,numbat_cat
cosine,0.8592920353982301,numbat_cat
cosine,0.8544642857142857,numbat_cat
cosine,0.8528234771009338,numbat_cat
cosine,0.5006705409029951,numbat_cat
cosine,0.853309481216458,numbat_cat
cosine,0.8545941123996432,numbat_cat
cosine,0.8577758085954807,numbat_cat
cosine,0.8561887800534284,numbat_cat
cosine,0.8560606060606061,numbat_cat
cosine,0.8530066815144766,numbat_cat
cosine,0.8555456171735242,numbat_cat
cosine,0.8543342269883825,numbat_cat
cosine,0.49132176234979974,numbat_cat
cosine,0.8572068039391226,numbat_cat
cosine,0.8491150442477876,numbat_cat
cosine,0.8580843585237259,numbat_cat
cosine,0.8583594800537876,numbat_cat
cosine,0.8533568904593639,numbat_cat
cosine,0.8530594015185351,numbat_cat
cosine,0.8572064056939501,numbat_cat
cosine,0.4982094897045658,numbat_cat
cosine,0.8541019955654102,numbat_cat
cosine,0.8528079710144928,numbat_cat
cosine,0.8584229390681004,numbat_cat
cosine,0.8579136690647482,numbat_cat
cosine,0.8532150776053216,numbat_cat
cosine,0.8593680462839342,numbat_cat
cosine,0.8541197658712292,numbat_cat
cosine,0.8541019955654102,numbat_cat
cosine,0.8529676258992805,numbat_cat
cosine,0.852914798206278,numbat_cat
cosine,0.858363309352518,numbat_cat
cosine,0.8583481349911191,numbat_cat
cosine,0.851586946803755,numbat_cat
cosine,0.4946284691136974,numbat_cat
cosine,0.8584863412449619,numbat_cat
cosine,0.8546099290780141,numbat_cat
cosine,0.4943820224719101,numbat_cat
cosine,0.8563758389261745,numbat_cat
cosine,0.8530337078651685,numbat_cat
cosine,0.8607031597685804,numbat_cat
cosine,0.8502458649977649,numbat_cat
cosine,0.8552278820375335,numbat_cat
cosine,0.8493333333333334,numbat_cat
cosine,0.8510542844324809,numbat_cat
cosine,0.8572062084257206,numbat_cat
cosine,0.8510922871154704,numbat_cat
cosine,0.8590604026845637,numbat_cat
cosine,0.8586810228802153,numbat_cat
cosine,0.8517532179316467,numbat_cat
cosine,0.8554162936436884,numbat_cat
cosine,0.8526785714285714,numbat_cat
cosine,0.8565022421524664,numbat_cat
cosine,0.8594594594594595,numbat_cat
cosine,0.8579112505602868,numbat_cat
cosine,0.5033647375504711,numbat_cat
cosine,0.8624944909651829,numbat_cat
cosine,0.8517195176418044,numbat_cat
cosine,0.8576544315129812,numbat_cat
cosine,0.8552218735992828,numbat_cat
cosine,0.8573991031390135,numbat_cat
cosine,0.8606224627875507,numbat_cat
cosine,0.8536585365853658,numbat_cat
cosine,0.48982300884955754,numbat_cat
cosine,0.8536585365853658,numbat_cat
cosine,0.8589743589743589,numbat_cat
cosine,0.851685393258427,numbat_cat
cosine,0.851985559566787,numbat_cat
cosine,0.858281665190434,numbat_cat
cosine,0.4930211616389014,numbat_cat
cosine,0.8526127735596248,numbat_cat
cosine,0.4966562639322336,numbat_cat
cosine,0.8507130124777184,numbat_cat
cosine,0.8546666666666667,numbat_cat
cosine,0.8511210762331839,numbat_cat
cosine,0.49099099099099097,numbat_cat
cosine,0.8555506018724922,numbat_cat
cosine,0.4879248658318426,numbat_cat
cosine,0.8623318385650224,numbat_cat
cosine,0.8622082585278277,numbat_cat
cosine,0.8528099910793934,numbat_cat
cosine,0.8580329327992879,numbat_cat
cosine,0.49243772241992884,numbat_cat
cosine,0.4908685968819599,numbat_cat
cosine,0.8518850987432675,numbat_cat
cosine,0.8539325842696629,numbat_cat
cosine,0.853125,numbat_cat
cosine,0.8556101922217255,numbat_cat
cosine,0.8581591818586038,numbat_cat
cosine,0.8557303370786516,numbat_cat
cosine,0.8526924788607032,numbat_cat
cosine,0.8556053811659193,numbat_cat
cosine,0.855674709562109,numbat_cat
