Experiment,ident,statistic,p,p_corr
line2line_peo,numbat_cn_cosine,0.3656727864653879,2.496083542380494e-38,5.241775438999038e-37
line2line_peo,rna_cosine,0.8890717385631928,1.652407097265401e-18,3.470054904257342e-17
line2line_peo,copyvae_cosine,0.9226454236807247,2.3641858547328777e-15,4.9647902949390434e-14
line2line_peo,copykat_cosine,0.9536758300629193,2.036497247773322e-11,4.2766442203239765e-10
line2line_peo,numbat_cat_pearson,0.6306335064035641,2.260195602632789e-31,4.7464107655288564e-30
line2line_peo,numbat_cn_pearson,0.6873823481313317,2.2541534931793953e-29,4.73372233567673e-28
line2line_peo,rna_pearson,0.871155580950263,6.499332992683491e-20,1.364859928463533e-18
line2line_peo,copyvae_pearson,0.98444172154824094,3.465605375744441e-5,7.277771289063325e-4
line2line_peo,copykat_pearson,0.9755719403771727,2.062430696329677e-7,4.3311044622923215e-6
line2line_peo,numbat_cat_spearman,0.46225595874325687,3.9776317743542855e-36,8.353026726144e-35
line2line_peo,numbat_cn_spearman,0.49801990576457933,3.1415414676269225e-35,6.597237082016537e-34
line2line_peo,rna_spearman,0.8659562207851589,2.705669063405201e-20,5.681905033150921e-19
line2line_peo,copyvae_spearman,0.9430364976045651,6.311174510469774e-13,1.3253466471986526e-11
line2line_peo,copykat_spearman,0.9794872389100141,1.7153741914750296e-6,3.602285802097562e-5
line2line_peo,numbat_cat_kendall,0.46225595874325687,3.9776317743542855e-36,8.353026726144e-35
line2line_peo,numbat_cn_kendall,0.49430418085770667,2.5207588186265363e-35,5.293593519115726e-34
line2line_peo,rna_kendall,0.8112639976763518,9.509312087502337e-24,1.9969555383754908e-22
line2line_peo,copyvae_kendall,0.9594385538344036,1.670609747005099e-10,3.508280468710708e-9
line2line_peo,copykat_kendall,0.9789833219003848,1.291117986980732e-6,2.7113477726595373e-5
line2line_peo,other_random,0.9981432859709811,0.8710601119791921,1
line2line_easy,numbat_cat_cosine,0.5010061067523809,3.753164406684368e-35,7.881645254037172e-34
line2line_easy,numbat_cn_cosine,0.9971328114394422,0.5346205754522646,1
line2line_easy,rna_cosine,0.6240500229496151,1.3752728748424544e-31,2.888073037169154e-30
line2line_easy,copyvae_cosine,0.9948107786623608,0.09025383641674652,1
line2line_easy,copykat_cosine,0.9672017350584375,3.931268389276005e-9,8.25566361747961e-8
line2line_easy,numbat_cat_pearson,0.5010061067523809,3.753164406684368e-35,7.881645254037172e-34
line2line_easy,numbat_cn_pearson,0.5283697011396262,1.9964174798581086e-34,4.192476707702028e-33
line2line_easy,rna_pearson,0.37758029555582706,4.5017242364546146e-38,9.453620896554691e-37
line2line_easy,copyvae_pearson,0.8176555692846174,2.183175344637595e-23,4.584668223738949e-22
line2line_easy,copykat_pearson,0.20536163818265096,1.9199127217551005e-41,4.031816715685711e-40
line2line_easy,numbat_cat_spearman,0.5010061067523809,3.753164406684368e-35,7.881645254037172e-34
line2line_easy,numbat_cn_spearman,0.5283697011396262,1.9964174798581086e-34,4.192476707702028e-33
line2line_easy,rna_spearman,0.44024148997673185,1.1774112678768181e-36,2.472563662541318e-35
line2line_easy,copyvae_spearman,0.2945237074681559,8.78728001743529e-40,1.845328803661411e-38
line2line_easy,copykat_spearman,0.1917979995537672,1.1072892403763392e-41,2.3253074047903125e-40
line2line_easy,numbat_cat_kendall,0.5010061067523809,3.753164406684368e-35,7.881645254037172e-34
line2line_easy,numbat_cn_kendall,0.5283697011396262,1.9964174798581086e-34,4.192476707702028e-33
line2line_easy,rna_kendall,0.37395560828652474,3.7583327477492743e-38,7.892498770273477e-37
line2line_easy,copyvae_kendall,0.32718606749526,3.9394171249039893e-39,8.272775962298377e-38
line2line_easy,copykat_kendall,0.19977154734488967,1.528862047063673e-41,3.2106102988337132e-40
line2line_easy,other_random,0.9949532351841242,0.10163689856937061,1
