Experiment,ident,statistic,p,p_corr
line2line_easy,copykat_cosine,125250,6.342511062790793e-84,1.3319273231860667e-82
line2line_easy,numbat_cat_pearson,120157,3.4488556112834024e-72,7.242596783695145e-71
line2line_easy,numbat_cn_pearson,124791,9.906285610766613e-83,2.0803199782609888e-81
line2line_easy,rna_pearson,124750,1.2650382457275069e-82,2.6565803160277644e-81
line2line_easy,copyvae_pearson,120696,1.3245393420313368e-75,2.7815326182658072e-74
line2line_easy,copykat_pearson,124750,1.2650102164784699e-82,2.656521454604787e-81
line2line_easy,numbat_cat_spearman,120157,3.4488556112834024e-72,7.242596783695145e-71
line2line_easy,numbat_cn_spearman,124791,9.906285610766613e-83,2.0803199782609888e-81
line2line_easy,rna_spearman,124750,1.2650214281043134e-82,2.656544999019058e-81
line2line_easy,copyvae_spearman,123630,7.387673492562776e-81,1.551411433438183e-79
line2line_easy,copykat_spearman,124750,1.2650326398285648e-82,2.656568543639986e-81
line2line_easy,numbat_cat_kendall,120157,3.4488556112834024e-72,7.242596783695145e-71
line2line_easy,numbat_cn_kendall,124791,9.906285610766613e-83,2.0803199782609888e-81
line2line_easy,rna_kendall,124750,1.2650354427749822e-82,2.656574429827463e-81
line2line_easy,copyvae_kendall,122798,9.797704759871936e-79,2.0575179995731067e-77
line2line_easy,copykat_kendall,124750,1.2650102164784699e-82,2.656521454604787e-81
line2line_easy,other_random,0,1,1
